Keyword,Language,Term
motiv,de,Porträt
motiv,en,portrait
motiv,de,Frau
motiv,en,woman
motiv,de,Innenraum
motiv,en,interior space
bildelement,de,Frau
bildelement,en,woman
bildelement,de,Stuhllehne
bildelement,en,back of a chair
bildelement,de,Mühlsteinkragen
bildelement,en,cartwheel ruff
bildelement,de,Halskette
bildelement,en,necklace
bildelement,de,Goldschmuck
bildelement,en,gold jewellery
bildelement,de,Goldkette
bildelement,en,gold chain
bildelement,de,Perle
bildelement,en,pearl
bildelement,de,Haube (Kopfbedeckung)
bildelement,en,bonnet
bildelement,de,Ring (Schmuck)
bildelement,en,ring
bildelement,de,Armband
bildelement,en,bracelet
bildelement,de,Schmuck
bildelement,en,jewellery
bildelement,de,Edelstein
bildelement,en,gem
bildelement,de,Spitzenmanschette
bildelement,en,lace cuff
bildelement,de,Kleid
bildelement,en,dress
bildelement,de,Straußenfeder
bildelement,en,ostrich feather
assoziation,de,Niederlande
assoziation,en,Netherlands
assoziation,de,Patrizier
assoziation,en,patrician (male)
assoziation,de,Damast
assoziation,en,damask
assoziation,de,Fächer
assoziation,en,fan
assoziation,de,Staubwedel
assoziation,en,feather duster
assoziation,de,Regentin
assoziation,en,regent (female)
assoziation,de,Repräsentation
assoziation,en,social image
assoziation,de,Stolz
assoziation,en,pride
assoziation,de,Konzentration (Psychologie)
assoziation,en,concentration
assoziation,de,Strenge
assoziation,en,austerity
assoziation,de,Detailgenauigkeit
assoziation,en,attention to detail
atmosphäre,de,Starre
atmosphäre,en,rigidity
atmosphäre,de,Schwere
atmosphäre,en,heaviness
atmosphäre,de,Ruhe
atmosphäre,en,calm
atmosphäre,de,Ernsthaftigkeit
atmosphäre,en,earnestness
atmosphäre,de,Erhabenheit
atmosphäre,en,grandeur
emotion,de,bedrückend
emotion,en,depressing
emotion,de,kühl
emotion,en,cool
emotion,de,nachdenklich
emotion,en,thoughtful
emotion,de,ernsthaft
emotion,en,earnestly
