Keyword,oai_DE-MUS-048017_sg377_thumb-xl.csv,oai_DE-MUS-048017_1227_thumb-xl.csv,oai_DE-MUS-048017_703_johannes-verspronck-portrait-woman-armchair-703--thumb-xl.csv,oai_DE-MUS-048017_sg411_thumb-xl.csv,oai_DE-MUS-048017_4965z_thumb-xl.csv,oai_DE-MUS-048017_1415_thumb-xl.csv,oai_DE-MUS-048017_1712_thumb-xl.csv,oai_DE-MUS-048017_alh91z_thumb-xl.csv
table,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
tablecloth,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
apple,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
basket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
water,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
doll,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
back of a chair,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
abundance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
freshness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
joyful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
carefree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rome,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
man,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
three-quarter profile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
bust (portrait),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
suit,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"coat, cloak",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
jacket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
goatee,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eye contact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
darkness,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
