Keyword,Concept ID,German Term,English Term
motiv,Motiv,Frucht,progeny
motiv,Motivgattung,Geschichtliche Darstellung,portrayal of a historical event
motiv,Motivgattung,Ornament,ornament
motiv,Motivgattung,Pflanzendarstellung,plant depiction
motiv,Motivgattung,Historie,historical narration
motiv,Motivgattung,Stadtansicht,city view
motiv,Motivgattung,Selbstporträt,self-portrait
motiv,Motiv,Tanz,dance
motiv,Motiv,Ehringsdorf,Ehringsdorf
motiv,Motivgattung,Stillleben,still life
motiv,Motiv,Mann,man
motiv,Motivgattung,Biblische Darstellung,Biblical portrayal
motiv,Motivgattung,Mythologische Darstellung,mythological representation
motiv,Motiv,Frau,woman
motiv,Motiv,Paar,couple
motiv,Motiv,Geschirr (Hausrat),dinnerware
motiv,Motivgattung,Seestück,seascape
motiv,Motivgattung,Heiligendarstellung,depiction of a saint
motiv,Motivgattung,Porträt,portrait
motiv,Motivgattung,Interieur,interior
motiv,Motivgattung,Genre,genre
motiv,Motiv,Personengruppe,group of people
motiv,Motivgattung,Tierdarstellung,animal depiction
motiv,Motivgattung,Personendarstellung,personal depiction
motiv,Motiv,Gebäude,building
motiv,Motiv,Eugène Félix Lecourtois,Eugène Félix Lecourtois
motiv,Motiv,Spielzeug,toy
motiv,Motivgattung,Architektur,architecture
motiv,Motiv,Innenraum,interior space
motiv,Motiv,Johann Hieronymus zum Jungen,Johann Hieronymus zum Jungen
motiv,Motivgattung,Landschaft,landscape
motiv,Motivgattung,Akt,nude
motiv,Motivgattung,Karikatur,caricature
motiv,Motiv,Tier,animal
bildelement,Bildelement,Giebel,gable
bildelement,Bildelement,Personengruppe,group of people
bildelement,Bildelement,Bluse,blouse
bildelement,Bildelement,Stoff,fabric
bildelement,Bildelement,Bad Wimpfen,Bad Wimpfen
bildelement,Bildelement,Falte,fold
bildelement,Bildelement,Gebäude,building
bildelement,Bildelement,Mütze,close-fitting cap
bildelement,Bildelement,Handgeste,hand gesture
bildelement,Bildelement,Tanzpaar,dancing couple
bildelement,Bildelement,Vollbart,full beard
bildelement,Bildelement,Physiognomie,physiognomy
bildelement,Bildelement,Goldkette,gold chain
bildelement,Bildelement,Dialog,dialogue
bildelement,Bildelement,Dogenpalast (Venedig),Doge's Palace (Venice)
bildelement,Bildelement,Japan,Japan
bildelement,Bildelement,Hautfalte,skin fold
bildelement,Bildelement,Mieder,bodice
bildelement,Bildelement,Gewässer,body of water
bildelement,Bildelement,Huhn,chicken
bildelement,Bildelement,Halstuch,bandanna
bildelement,Bildelement,Rückenfigur,figure seen from the back
bildelement,Bildelement,Schürze,apron
bildelement,Bildelement,Wams,doublet
bildelement,Bildelement,Hose,trousers
bildelement,Bildelement,Kniebundhose,"knickerbockers, knee breeches"
bildelement,Bildelement,Krug,pitcher
bildelement,Bildelement,Lichtreflex,light reflection
bildelement,Bildelement,Lichteinfall,incident light
bildelement,Bildelement,Stiefel,boot
bildelement,Bildelement,Tischdecke,tablecloth
bildelement,Bildelement,Torbogen,archway
bildelement,Bildelement,Puppe,doll
bildelement,Bildelement,Bleiverglasung,leaded glass
bildelement,Bildelement,Inkarnat,flesh colour
bildelement,Bildelement,Kamin,"chimney, fireplace"
bildelement,Bildelement,Hemd,shirt
bildelement,Bildelement,Wolke,cloud
bildelement,Bildelement,Straße,street
bildelement,Bildelement,Haube (Kopfbedeckung),bonnet
bildelement,Bildelement,Halskette,necklace
bildelement,Bildelement,Hüftbild,half-length portrait
bildelement,Bildelement,Gefäß,vessel
bildelement,Bildelement,Gürtel,belt
bildelement,Bildelement,Wirtshaus,"Inn, tavern"
bildelement,Bildelement,Messer,knife
bildelement,Bildelement,Hintergrund,background
bildelement,Bildelement,Greis,old man
bildelement,Bildelement,Dachziegel,roof tile
bildelement,Bildelement,Holztür,wooden door
bildelement,Bildelement,Jackett,jacket
bildelement,Bildelement,Strohdach,straw roof
bildelement,Bildelement,Straußenfeder,ostrich feather
bildelement,Bildelement,Armband,bracelet
bildelement,Bildelement,Bauer,"peasant, farmer (male)"
bildelement,Bildelement,Locke,lock
bildelement,Bildelement,Hut,hat
bildelement,Bildelement,Fassade,facade
bildelement,Bildelement,Musikinstrument,musical instrument
bildelement,Bildelement,Waffe,weapon
bildelement,Bildelement,Vorhang,drapery
bildelement,Bildelement,Waffenrock,tunic (uniform)
bildelement,Bildelement,Licht,light
bildelement,Bildelement,Harnisch,armour
bildelement,Bildelement,Scheide (Waffenkunde),sheath
bildelement,Bildelement,Wiese,meadow
bildelement,Bildelement,Faltenwurf,drape
bildelement,Bildelement,Körperkontakt,physical contact
bildelement,Bildelement,Musiker,musician (male)
bildelement,Bildelement,Kirchturm,church tower
bildelement,Bildelement,Goldsaum,gold hem
bildelement,Bildelement,Rauch,smoke
bildelement,Bildelement,Mantel,"coat, cloak"
bildelement,Bildelement,Brustbild,bust (portrait)
bildelement,Bildelement,Karaffe,carafe
bildelement,Bildelement,Reflexion (Physik),reflection (light)
bildelement,Bildelement,Tanz,dance
bildelement,Bildelement,Rüstung,suit of armour
bildelement,Bildelement,Stehkragen,stand-up collar
bildelement,Bildelement,Ufer,shore
bildelement,Bildelement,Himmel,sky
bildelement,Bildelement,Unschärfe,blurring
bildelement,Bildelement,Dunkelheit,darkness
bildelement,Bildelement,Goldstickerei,gold embroidery
bildelement,Bildelement,Sackpfeife,bagpipes
bildelement,Bildelement,Spitzenmanschette,lace cuff
bildelement,Bildelement,Dudelsackspieler,bagpipe player
bildelement,Bildelement,Bäuerin,"peasant, farmer (female)"
bildelement,Bildelement,Jacke,coat
bildelement,Bildelement,Schornstein,chimney
bildelement,Bildelement,Vogel,bird
bildelement,Bildelement,Taunus,Taunus
bildelement,Bildelement,Dorf,village
bildelement,Bildelement,Tanzender,man dancing
bildelement,Bildelement,Anzug,suit
bildelement,Bildelement,Kniestrumpf,knee sock
bildelement,Bildelement,Wasser,water
