Keyword,Concept ID,German Term,English Term
motiv,Motivgattung,Akt,nude
motiv,Motivgattung,Tierdarstellung,animal depiction
motiv,Motiv,Johann Hieronymus zum Jungen,Johann Hieronymus zum Jungen
motiv,Motiv,Eugène Félix Lecourtois,Eugène Félix Lecourtois
motiv,Motivgattung,Biblische Darstellung,Biblical portrayal
motiv,Motiv,Innenraum,interior space
motiv,Motivgattung,Selbstporträt,self-portrait
motiv,Motivgattung,Porträt,portrait
motiv,Motiv,Tanz,dance
motiv,Motivgattung,Stillleben,still life
motiv,Motivgattung,Heiligendarstellung,depiction of a saint
motiv,Motivgattung,Ornament,ornament
motiv,Motivgattung,Personendarstellung,personal depiction
motiv,Motiv,Gebäude,building
motiv,Motiv,Mann,man
motiv,Motivgattung,Seestück,seascape
motiv,Motivgattung,Stadtansicht,city view
motiv,Motiv,Paar,couple
motiv,Motivgattung,Pflanzendarstellung,plant depiction
motiv,Motivgattung,Landschaft,landscape
motiv,Motivgattung,Mythologische Darstellung,mythological representation
motiv,Motiv,Personengruppe,group of people
motiv,Motiv,Frau,woman
motiv,Motiv,Spielzeug,toy
motiv,Motiv,Frucht,progeny
motiv,Motivgattung,Geschichtliche Darstellung,portrayal of a historical event
motiv,Motiv,Ehringsdorf,Ehringsdorf
motiv,Motiv,Tier,animal
motiv,Motivgattung,Karikatur,caricature
motiv,Motiv,Geschirr (Hausrat),dinnerware
motiv,Motivgattung,Architektur,architecture
motiv,Motivgattung,Genre,genre
motiv,Motivgattung,Historie,historical narration
motiv,Motivgattung,Interieur,interior
bildelement,Bildelement,Musikinstrument,musical instrument
bildelement,Bildelement,Mann,man
bildelement,Bildelement,Greis,old man
bildelement,Bildelement,Waffengehänge,sheath
bildelement,Bildelement,Vollbart,full beard
bildelement,Bildelement,Baum,tree
bildelement,Bildelement,Rom,Rome
bildelement,Bildelement,Lächeln,smile
bildelement,Bildelement,Dach,roof
bildelement,Bildelement,Harnisch,armour
bildelement,Bildelement,Niederlande,Netherlands
bildelement,Bildelement,Dachziegel,roof tile
bildelement,Bildelement,Paar,couple
bildelement,Bildelement,Dunkelheit,darkness
bildelement,Bildelement,Wiese,meadow
bildelement,Bildelement,Kirchturm,church tower
bildelement,Bildelement,Patrizier,patrician (male)
bildelement,Bildelement,Rhein,Rhine
bildelement,Bildelement,Borte,edging
bildelement,Bildelement,Tanzender,man dancing
bildelement,Bildelement,Wams,doublet
bildelement,Bildelement,Mantel,"coat, cloak"
bildelement,Bildelement,Gürtelschnalle,belt buckle
bildelement,Bildelement,Rüstung,suit of armour
bildelement,Bildelement,Brustbild,bust (portrait)
bildelement,Bildelement,Tisch,table
bildelement,Bildelement,Orvieto,Orvieto
bildelement,Bildelement,Torbogen,archway
bildelement,Bildelement,Schatten,shadow
bildelement,Bildelement,Ägypten,Egypt
bildelement,Bildelement,Mütze,close-fitting cap
bildelement,Bildelement,Jackett,jacket
bildelement,Bildelement,Messer,knife
bildelement,Bildelement,Stuhllehne,back of a chair
bildelement,Bildelement,Goldsaum,gold hem
bildelement,Bildelement,Mimik,facial expression
bildelement,Bildelement,Wasser,water
bildelement,Bildelement,Sonnenflecken,sunspots
bildelement,Bildelement,Korb,basket
bildelement,Bildelement,Goldstickerei,gold embroidery
bildelement,Bildelement,Vorhang,drapery
bildelement,Bildelement,Handgeste,hand gesture
bildelement,Bildelement,Hut,hat
bildelement,Bildelement,Bauer,"peasant, farmer (male)"
bildelement,Bildelement,Waffenrock,tunic (uniform)
bildelement,Bildelement,Kleid,dress
bildelement,Bildelement,Vogel,bird
bildelement,Bildelement,Kniestrumpf,knee sock
bildelement,Bildelement,Jacke,coat
bildelement,Bildelement,Fenster,window
bildelement,Bildelement,Bad Wimpfen,Bad Wimpfen
bildelement,Bildelement,Karaffe,carafe
bildelement,Bildelement,Kamin,"chimney, fireplace"
bildelement,Bildelement,Stiefel,boot
bildelement,Bildelement,Puppe,doll
bildelement,Bildelement,Degen,rapier
bildelement,Bildelement,Anzug,suit
bildelement,Bildelement,Bleiverglasung,leaded glass
bildelement,Bildelement,Unschärfe,blurring
bildelement,Bildelement,Musizierender,music-maker
bildelement,Bildelement,Herrenschuh,man's shoe
bildelement,Bildelement,Heidelberg,Heidelberg
bildelement,Bildelement,Japan,Japan
bildelement,Bildelement,Spitzenmanschette,lace cuff
bildelement,Bildelement,Vordergrund,foreground
bildelement,Bildelement,Dialog,dialogue
bildelement,Bildelement,Wirtshaus,"Inn, tavern"
bildelement,Bildelement,Rauch,smoke
bildelement,Bildelement,Körperkontakt,physical contact
bildelement,Bildelement,Inkarnat,flesh colour
bildelement,Bildelement,Musiker,musician (male)
bildelement,Bildelement,Dreiviertelprofil,three-quarter profile
bildelement,Bildelement,Blickkontakt,eye contact
bildelement,Bildelement,Mieder,bodice
bildelement,Bildelement,Brustpanzer,breastplate (armour)
bildelement,Bildelement,Waffe,weapon
bildelement,Bildelement,Ufer,shore
bildelement,Bildelement,Damenschuh,woman's shoe
bildelement,Bildelement,Fassade,facade
bildelement,Bildelement,Lichtreflex,light reflection
bildelement,Bildelement,Lichteinfall,incident light
bildelement,Bildelement,Stuhl,chair
bildelement,Bildelement,Personengruppe,group of people
bildelement,Bildelement,Rückenfigur,figure seen from the back
bildelement,Bildelement,Spielkarte,playing card
bildelement,Bildelement,Lahn,Lahn
bildelement,Bildelement,Bluse,blouse
bildelement,Bildelement,Ring (Schmuck),ring
bildelement,Bildelement,Tanzpaar,dancing couple
bildelement,Bildelement,Fluss,river
bildelement,Bildelement,Stoff,fabric
bildelement,Bildelement,Edelstein,gem
bildelement,Bildelement,Stehender,standing man
bildelement,Bildelement,Sitzender,seated man
bildelement,Bildelement,Sackpfeife,bagpipes
bildelement,Bildelement,Dogenpalast (Venedig),Doge's Palace (Venice)
bildelement,Bildelement,Faltenwurf,drape
bildelement,Bildelement,Haube (Kopfbedeckung),bonnet
bildelement,Bildelement,Kimono,kimono
bildelement,Bildelement,Draperie,drapery
bildelement,Bildelement,Hose,trousers
bildelement,Bildelement,Weg,route
bildelement,Bildelement,Dorf,village
bildelement,Bildelement,Rothenburg ob der Tauber,Rothenburg ob der Tauber
bildelement,Bildelement,Apfel,apple
bildelement,Bildelement,Gürtel,belt
bildelement,Bildelement,Reflexion (Physik),reflection (light)
bildelement,Bildelement,Halskette,necklace
bildelement,Bildelement,Dorfstraße,village street
bildelement,Bildelement,Gefäß,vessel
bildelement,Bildelement,Gehstock,cane
bildelement,Bildelement,Schornstein,chimney
bildelement,Bildelement,Physiognomie,physiognomy
bildelement,Bildelement,Knopf,button
bildelement,Bildelement,Rock,skirt
bildelement,Bildelement,Tanzende,woman dancing
bildelement,Bildelement,Schmuck,jewellery
bildelement,Bildelement,Taunus,Taunus
bildelement,Bildelement,Krug,pitcher
bildelement,Bildelement,Mittelgrund,middle ground
bildelement,Bildelement,Farbfläche,colour plane
bildelement,Bildelement,Kinnbart,goatee
bildelement,Bildelement,Hintergrund,background
bildelement,Bildelement,Person,person
bildelement,Bildelement,Perle,pearl
bildelement,Bildelement,Holzverkleidung,wood cladding
bildelement,Bildelement,Haus,house
bildelement,Bildelement,Armband,bracelet
bildelement,Bildelement,Stehkragen,stand-up collar
bildelement,Bildelement,Kniebundhose,"knickerbockers, knee breeches"
bildelement,Bildelement,Scheide (Waffenkunde),sheath
bildelement,Bildelement,Dudelsackspieler,bagpipe player
bildelement,Bildelement,Straße,street
bildelement,Bildelement,Giebel,gable
bildelement,Bildelement,Frau,woman
bildelement,Bildelement,Himmel,sky
bildelement,Bildelement,Wolke,cloud
bildelement,Bildelement,Schürze,apron
bildelement,Bildelement,Holztür,wooden door
bildelement,Bildelement,Gastwirtin,hostess
bildelement,Bildelement,Straußenfeder,ostrich feather
bildelement,Bildelement,Ferne,far distance
bildelement,Bildelement,Geste,gesture
bildelement,Bildelement,Perücke,wig
bildelement,Bildelement,Strohdach,straw roof
bildelement,Bildelement,Tischdecke,tablecloth
bildelement,Bildelement,Ornament,ornament
bildelement,Bildelement,Kaiserpfalz (Bad Wimpfen),Kaiserpfalz (Bad Wimpfen)
bildelement,Bildelement,Bauernhaus,farmhouse
bildelement,Bildelement,Falte,fold
bildelement,Bildelement,Goldschmuck,gold jewellery
bildelement,Bildelement,Bäuerin,"peasant, farmer (female)"
bildelement,Bildelement,Licht,light
bildelement,Bildelement,Montserrat (Provinz Barcelona),Montserrat (mountain)
bildelement,Bildelement,Rahmen,frame
bildelement,Bildelement,Hautfalte,skin fold
bildelement,Bildelement,Halstuch,bandanna
bildelement,Bildelement,Handschuh,glove
bildelement,Bildelement,Huhn,chicken
bildelement,Bildelement,Hüftbild,half-length portrait
bildelement,Bildelement,Tanz,dance
bildelement,Bildelement,Locke,lock
bildelement,Bildelement,Kartenspiel,card game
bildelement,Bildelement,Mühlsteinkragen,cartwheel ruff
bildelement,Bildelement,Goldkette,gold chain
bildelement,Bildelement,Gebäude,building
bildelement,Bildelement,Stehende,standing woman (standing people)
bildelement,Bildelement,Gewässer,body of water
bildelement,Bildelement,Hocker,stool
bildelement,Bildelement,Hemd,shirt
assoziation,Assoziation,Konzentration (Psychologie),concentration
assoziation,Assoziation,Niederlande,Netherlands
assoziation,Assoziation,Regentin,regent (female)
assoziation,Assoziation,Detailgenauigkeit,attention to detail
assoziation,Assoziation,Schwager,brother-in-law
assoziation,Assoziation,Einsamkeit,"solitude, loneliness"
assoziation,Assoziation,Sommer,summer
assoziation,Assoziation,Tradition,tradition
assoziation,Assoziation,Spielzeug,toy
assoziation,Assoziation,Patrizier,patrician (male)
assoziation,Assoziation,Scheune,barn
assoziation,Assoziation,Studie,study
assoziation,Assoziation,Marionette,marionette
assoziation,Assoziation,Reflexion (Psychologie),reflection (psychology)
assoziation,Assoziation,Repräsentation,social image
assoziation,Assoziation,Impressionismus,Impressionism
assoziation,Assoziation,Repräsentationsbild,representational picture
assoziation,Assoziation,Strenge,austerity
assoziation,Assoziation,Porzellan,porcelain
assoziation,Assoziation,Dorf,village
assoziation,Assoziation,Soldat,soldier
assoziation,Assoziation,Chinoiserie,Chinoiserie
assoziation,Assoziation,Volkstanz,folk dance
assoziation,Assoziation,Kind,child
assoziation,Assoziation,Atmosphäre,atmosphere
assoziation,Assoziation,Mosaik,mosaic
assoziation,Assoziation,Militär,military
assoziation,Assoziation,Kunstkammer,art cabinet
assoziation,Assoziation,Staubwedel,feather duster
assoziation,Assoziation,Händler,"dealer, merchant (male)"
assoziation,Assoziation,Weimar,Weimar
assoziation,Assoziation,Idylle,idyll
assoziation,Assoziation,Freilichtmalerei,plein-air painting
assoziation,Assoziation,Sammlerin,collector (female)
assoziation,Assoziation,Realismus,realism
assoziation,Assoziation,Fächer,fan
assoziation,Assoziation,Damast,damask
assoziation,Assoziation,Kunsthandwerk,craftsmanship
assoziation,Assoziation,Kaufmann,merchant
assoziation,Assoziation,Ritter,knight
assoziation,Assoziation,Souvenir,souvenir
assoziation,Assoziation,Exotik,exotica
assoziation,Assoziation,Stolz,pride
assoziation,Assoziation,Erholung,recovery
assoziation,Assoziation,Adel,nobility
assoziation,Assoziation,Bankier,banker
assoziation,Assoziation,Verlassenheit,loneliness
assoziation,Assoziation,Japonismus,Japonism
atmosphäre,Atmosphäre,Kontemplation,contemplation
atmosphäre,Atmosphäre,Leichtigkeit,ease
atmosphäre,Atmosphäre,Ruhe,calm
atmosphäre,Atmosphäre,Schwere,heaviness
atmosphäre,Atmosphäre,Harmonie,harmony
atmosphäre,Atmosphäre,Heiterkeit,gaiety
atmosphäre,Atmosphäre,Erhabenheit,grandeur
atmosphäre,Atmosphäre,Starre,rigidity
atmosphäre,Atmosphäre,Ernsthaftigkeit,earnestness
atmosphäre,Atmosphäre,Nachdenklichkeit,thoughtfulness
atmosphäre,Atmosphäre,Geheimnis,secret
atmosphäre,Atmosphäre,Fülle,abundance
atmosphäre,Atmosphäre,Frische,freshness
emotion,Emotion,nachdenklich,thoughtful
emotion,Emotion,sehnsüchtig,longing
emotion,Emotion,unheimlich,eerie
emotion,Emotion,ernsthaft,earnestly
emotion,Emotion,unbeschwert,carefree
emotion,Emotion,ausgeglichen,even-tempered
emotion,Emotion,kühl,cool
emotion,Emotion,optimistisch,optimistic
emotion,Emotion,beruhigend,"soothing, calming"
emotion,Emotion,freudig,joyful
emotion,Emotion,bedrückend,depressing
