Keyword,Concept ID,German Term,English Term
motiv,Motivgattung,Porträt,portrait
motiv,Motiv,Johann Hieronymus zum Jungen,Johann Hieronymus zum Jungen
motiv,Motiv,Mann,man
bildelement,Bildelement,Mann,man
bildelement,Bildelement,Hüftbild,half-length portrait
bildelement,Bildelement,Stehender,standing man
bildelement,Bildelement,Dreiviertelprofil,three-quarter profile
bildelement,Bildelement,Blickkontakt,eye contact
bildelement,Bildelement,Dialog,dialogue
bildelement,Bildelement,Physiognomie,physiognomy
bildelement,Bildelement,Hautfalte,skin fold
bildelement,Bildelement,Perücke,wig
bildelement,Bildelement,Locke,lock
bildelement,Bildelement,Hemd,shirt
bildelement,Bildelement,Stehkragen,stand-up collar
bildelement,Bildelement,Goldstickerei,gold embroidery
bildelement,Bildelement,Goldsaum,gold hem
bildelement,Bildelement,Rüstung,suit of armour
bildelement,Bildelement,Brustpanzer,breastplate (armour)
bildelement,Bildelement,Harnisch,armour
bildelement,Bildelement,Handschuh,glove
bildelement,Bildelement,Gehstock,cane
bildelement,Bildelement,Gürtel,belt
bildelement,Bildelement,Gürtelschnalle,belt buckle
bildelement,Bildelement,Degen,rapier
bildelement,Bildelement,Scheide (Waffenkunde),sheath
bildelement,Bildelement,Waffe,weapon
bildelement,Bildelement,Waffenrock,tunic (uniform)
bildelement,Bildelement,Waffengehänge,sheath
bildelement,Bildelement,Ornament,ornament
bildelement,Bildelement,Borte,edging
bildelement,Bildelement,Draperie,drapery
bildelement,Bildelement,Stoff,fabric
bildelement,Bildelement,Rahmen,frame
bildelement,Bildelement,Lichtreflex,light reflection
bildelement,Bildelement,Reflexion (Physik),reflection (light)
bildelement,Bildelement,Licht,light
bildelement,Bildelement,Schatten,shadow
bildelement,Bildelement,Patrizier,patrician (male)
assoziation,Assoziation,Ritter,knight
assoziation,Assoziation,Adel,nobility
assoziation,Assoziation,Militär,military
assoziation,Assoziation,Repräsentation,social image
assoziation,Assoziation,Repräsentationsbild,representational picture
assoziation,Assoziation,Soldat,soldier
